bedrooms,bathrooms,sqft_living,lat,long
6,3.0,2400,47.3262,-122.214
4,1.75,2060,47.4444,-122.351
3,1.0,1460,47.4434,-122.347
3,1.0,1430,47.4783,-122.265
4,2.0,1650,47.5803,-122.294
4,2.5,2540,47.5423,-122.302
4,2.0,1980,47.4836,-122.214
2,1.0,840,47.484,-122.211
2,1.0,790,47.5303,-122.288
3,2.0,1410,47.6029,-122.302
5,1.0,3020,47.6025,-122.313
2,2.0,1130,47.6023,-122.314
2,1.0,1420,47.68,-122.304
3,2.5,1530,47.6181,-122.138
3,2.5,1530,47.6179,-122.141
3,2.5,1910,47.6176,-122.14
3,2.5,3350,47.7277,-122.207
3,2.5,2870,47.6944,-122.102
3,2.5,3130,47.6954,-122.103
3,3.25,3060,47.6971,-122.101
3,3.5,3190,47.6968,-122.102
4,2.75,3130,47.6993,-122.102
4,2.5,2660,47.6972,-122.104
4,2.5,2341,47.6993,-122.115
3,2.5,2620,47.6972,-122.116
3,2.5,1850,47.3755,-122.136
4,2.75,2500,47.523,-122.332
3,2.5,1520,47.5245,-122.33
2,1.75,1740,47.5211,-122.33
3,1.5,1640,47.5215,-122.33
2,1.0,1200,47.3089,-122.21
2,1.0,1600,47.3098,-122.21
4,1.0,1320,47.3098,-122.209
3,2.25,2010,47.6912,-122.115
5,2.5,2620,47.6919,-122.115
3,1.75,1470,47.6975,-122.12
5,2.75,3050,47.5709,-122.214
2,1.0,1100,47.5312,-122.392
3,2.0,3030,47.5289,-122.391
5,2.25,2240,47.5305,-122.391
2,1.75,1290,47.531,-122.39
3,1.5,1480,47.5144,-122.379
2,1.0,1130,47.5141,-122.377
5,2.5,2130,47.4726,-122.282
2,1.0,1500,47.4727,-122.281
4,2.5,2910,47.4714,-122.273
2,1.0,1110,47.4711,-122.291
2,1.0,880,47.4672,-122.291
5,1.0,1500,47.4702,-122.281
2,1.0,1450,47.4689,-122.277
5,4.5,4440,47.4702,-122.275
4,2.0,1520,47.4683,-122.281
5,3.0,3300,47.5673,-122.21
5,3.5,5000,47.5665,-122.21
4,3.75,4100,47.5648,-122.21
2,1.75,1430,47.5088,-122.371
