id,actual_price,predicted_price,error,absolute_error
4226,550000,444679.62,-105320.38,105320.38
11070,505000,422829.4975,-82170.5025,82170.5025
2450,379000,408269.5525,29269.55249999999,29269.55249999999
1493,280000,421065.4,141065.40000000002,141065.40000000002
3894,550000,486732.37,-63267.630000000005,63267.630000000005
1163,271000,251013.25,-19986.75,19986.75
5821,447000,447514.675,514.6749999999884,514.6749999999884
7144,297000,328392.05,31392.04999999999,31392.04999999999
14634,685000,718102.535,33102.53500000003,33102.53500000003
9157,330000,358463.525,28463.525000000023,28463.525000000023
1373,998800,953457.1166666666,-45342.88333333342,45342.88333333342
14636,252500,341754.15,89254.15000000002,89254.15000000002
700,325000,297967.60083333333,-27032.39916666667,27032.39916666667
8214,244000,356326.635,112326.63500000001,112326.63500000001
88,1025000,1247611.025,222611.0249999999,222611.0249999999
13151,445000,476435.2083333334,31435.208333333372,31435.208333333372
2485,280000,237567.815,-42432.185,42432.185
1071,250000,250506.5,506.5,506.5
15181,653000,675195.95,22195.949999999953,22195.949999999953
14896,472217,510487.5775,38270.577500000014,38270.577500000014
15322,580000,595275.18,15275.180000000051,15275.180000000051
6151,252000,338250.125,86250.125,86250.125
11436,605000,547984.34,-57015.66000000003,57015.66000000003
3995,295000,316755.4791666666,21755.479166666628,21755.479166666628
7438,680000,702349.96,22349.959999999963,22349.959999999963
12245,332000,316152.6525,-15847.347499999974,15847.347499999974
5181,770000,523390.575,-246609.425,246609.425
3404,312500,370235.3833333333,57735.3833333333,57735.3833333333
5880,510000,320585.975,-189414.02500000002,189414.02500000002
12341,280000,261839.5675,-18160.432499999995,18160.432499999995
5847,214946,257446.24,42500.23999999999,42500.23999999999
3282,350000,351514.035,1514.0349999999744,1514.0349999999744
357,505000,614654.1225,109654.12250000006,109654.12250000006
8408,696000,527300.9883333333,-168699.01166666672,168699.01166666672
4852,747000,517078.63,-229921.37,229921.37
8517,664950,840520.645,175570.64500000002,175570.64500000002
7820,297975,353880.9025,55905.902500000026,55905.902500000026
5100,294000,434569.2675,140569.26750000002,140569.26750000002
3208,330000,335347.9175,5347.917499999981,5347.917499999981
11747,570000,647802.0,77802.0,77802.0
8344,387500,464095.0883333334,76595.08833333338,76595.08833333338
102,852500,824052.275,-28447.724999999977,28447.724999999977
15784,545000,521818.34,-23181.659999999974,23181.659999999974
8703,751305,732474.9533333333,-18830.04666666675,18830.04666666675
16115,299000,399343.5125,100343.51250000001,100343.51250000001
476,580000,722853.7125,142853.71250000002,142853.71250000002
10638,385000,396648.9225,11648.922499999986,11648.922499999986
10029,431000,395364.425,-35635.57500000001,35635.57500000001
15499,170000,297542.1624999999,127542.16249999992,127542.16249999992
7103,968000,1419964.58,451964.5800000001,451964.5800000001
5441,495000,512905.1233333334,17905.12333333341,17905.12333333341
13705,488000,586319.925,98319.92500000005,98319.92500000005
8710,898000,973291.1525,75291.15249999997,75291.15249999997
3193,500000,623621.6,123621.59999999998,123621.59999999998
11796,452000,490952.75,38952.75,38952.75
1350,199999,206771.495,6772.494999999995,6772.494999999995
2861,397500,358431.375,-39068.625,39068.625
2348,247000,189095.2991071429,-57904.7008928571,57904.7008928571
2009,310597,265430.29,-45166.71000000002,45166.71000000002
16008,800000,677337.37,-122662.63,122662.63
3,235000,235234.52833333335,234.52833333335002,234.52833333335002
9090,429000,468231.7,39231.70000000001,39231.70000000001
1119,339995,352885.625,12890.625,12890.625
1862,700500,619038.975,-81461.02500000002,81461.02500000002
5359,440000,428530.45833333326,-11469.541666666744,11469.541666666744
13136,368000,441171.67,73171.66999999998,73171.66999999998
1370,554000,405036.5833333334,-148963.41666666663,148963.41666666663
12488,244000,218977.0416666667,-25022.958333333314,25022.958333333314
12314,527000,583873.6066666667,56873.60666666669,56873.60666666669
14553,450000,370674.52,-79325.47999999998,79325.47999999998
4754,285000,320844.375,35844.375,35844.375
3325,840500,1015865.35,175365.34999999998,175365.34999999998
6730,208800,262916.29583333334,54116.29583333334,54116.29583333334
1962,1000000,1212344.0,212344.0,212344.0
12399,570000,651735.1141666666,81735.11416666664,81735.11416666664
6983,725000,750407.4325,25407.432499999995,25407.432499999995
9697,430000,500152.0458333333,70152.04583333328,70152.04583333328
11457,1045000,963336.875,-81663.125,81663.125
15924,500000,613758.175,113758.17500000005,113758.17500000005
5642,250000,189704.62083333335,-60295.37916666665,60295.37916666665
13717,369000,318806.475,-50193.52500000002,50193.52500000002
6330,235000,175757.875,-59242.125,59242.125
387,626000,750679.875,124679.875,124679.875
11255,600000,712777.115,112777.11499999999,112777.11499999999
10363,517500,492522.3425,-24977.657499999972,24977.657499999972
3386,400000,441281.22,41281.21999999997,41281.21999999997
3449,746500,808692.125,62192.125,62192.125
13251,1100000,1002504.9283333332,-97495.07166666677,97495.07166666677
10000,196500,212762.81166666668,16262.811666666676,16262.811666666676
12577,640000,768008.5525,128008.55249999999,128008.55249999999
13819,920000,804346.0416666665,-115653.95833333349,115653.95833333349
13483,350000,309532.8325,-40467.16749999998,40467.16749999998
14182,410000,501313.2083333334,91313.20833333337,91313.20833333337
10044,469500,373886.28,-95613.71999999997,95613.71999999997
351,568000,526590.6258333334,-41409.37416666665,41409.37416666665
7907,641000,750476.35,109476.34999999998,109476.34999999998
1989,575000,624862.5125,49862.51249999995,49862.51249999995
6497,362500,369087.9375,6587.9375,6587.9375
11366,386500,414963.2525,28463.252500000002,28463.252500000002
15963,182500,240665.5825,58165.58249999999,58165.58249999999
4280,254000,268763.4875,14763.487499999988,14763.487499999988
3418,880000,864551.415,-15448.584999999963,15448.584999999963
6532,509000,417648.0225,-91351.97749999998,91351.97749999998
8963,335000,354490.8125,19490.8125,19490.8125
11054,235245,270420.9,35175.90000000002,35175.90000000002
5217,112000,179230.125,67230.125,67230.125
6836,250000,250870.51583333337,870.5158333333675,870.5158333333675
14293,490000,445967.88964285725,-44032.11035714275,44032.11035714275
14134,525000,528108.23,3108.2299999999814,3108.2299999999814
9731,437500,492065.125,54565.125,54565.125
2301,930000,878048.87,-51951.130000000005,51951.130000000005
13441,340000,349751.0,9751.0,9751.0
304,395000,497450.37428571435,102450.37428571435,102450.37428571435
123,278500,272171.2375,-6328.762500000012,6328.762500000012
